"system","organ","map organ"
"Nervous System","Dorsal root ganglia","Nervous System"
"Nervous System","Cerebral cortex","Nervous System"
"Nervous System","Prefrontal cortex","Nervous System"
"Nervous System","Frontal cortex","Nervous System"
"Nervous System","Medulla","Nervous System"
"Olfactory System","Olfactory bulb","Nervous System"
"Endocrine System","Pituitary gland","Pituitary gland"
"Endocrine System","Adrenal gland","Adrenal gland"
"Endocrine System","Adipose tissue","Adipose tissue"
"Endocrine System","Fetal thyroid","Thyroid gland"
"Endocrine System","Adipose tissue subcutaneous","Adipose tissue"
"Endocrine System","Adrenal gland cortex","Adrenal gland"
"Endocrine System","Omental adipose tissue","Adipose tissue"
"Endocrine System","Thyroid gland","Thyroid gland"
"Immune System","Natural killer cell of peripheral blood","Immune System"
"Immune System","Granulocyte-macrophage progenitor cell of bone marrow","Immune System"
"Immune System","Bone marrow","Immune System"
"Immune System","Plasma cell of spleen","Immune System"
"Immune System","Tonsil","Immune System"
"Immune System","Whole blood","Immune System"
"Immune System","Thymus gland","Immune System"
"Immune System","Lymph nodes","Immune System"
"Immune System","B lymphocyte (naive) of spleen","Immune System"
"Immune System","B lymphocyte (IgM memory) of spleen","Immune System"
"Immune System","Hematopoietic stem cell of bone marrow","Immune System"
"Immune System","Macrophage of peripheral blood","Immune System"
"Immune System","Monocyte of peripheral blood","Immune System"
"Immune System","Neutrophil of bone marrow","Immune System"
"Immune System","Mononuclear cell of peripheral blood","Immune System"
"Immune System","Spleen","Immune System"
"Immune System","Dendritic (plasmacytoid) cell","Immune System"
"Immune System","T Lymphocyte (CD8+) of peripheral blood","Immune System"
"Immune System","Basophil of peripheral blood","Immune System"
"Immune System","T Lymphocyte (CD4+) of peripheral blood","Immune System"
"Immune System","Leukocyte (polymorphonuclear) of peripheral blood","Immune System"
"Immune System","T Lymphocyte (regulatory) of peripheral blood","Immune System"
"Immune System","Eosinophil of peripheral blood","Immune System"
"Immune System","Myeloid cells of peripheral blood","Immune System"
"Immune System","Microglial cell","Immune System"
"Respiratory System","Trachea","Lung"
"Respiratory System","Fetal lung","Lung"
"Respiratory System","Pharyngeal mucosa","Lung"
"Respiratory System","Lung","Lung"
"Respiratory System","Bronchus","Lung"
"Integumentary System","Skin","Skin"
"Visual System","Conjunctiva","Eye"
"Visual System","Eye","Eye"
